2025-01-27 18:59:48,927 INFO    MainThread:2687 [wandb_init.py:setup_run_log_directory():624] Logging user logs to /Users/aman/Documents/Work/Machine Learning/Computer-Vision-TensorFlow/Weights&Biases-Integration/wandb/run-20250127_185948-53xswlty/logs/debug.log
2025-01-27 18:59:48,928 INFO    MainThread:2687 [wandb_init.py:setup_run_log_directory():625] Logging internal logs to /Users/aman/Documents/Work/Machine Learning/Computer-Vision-TensorFlow/Weights&Biases-Integration/wandb/run-20250127_185948-53xswlty/logs/debug-internal.log
2025-01-27 18:59:48,928 INFO    MainThread:2687 [wandb_init.py:monkeypatch_ipython():576] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x34933fa90>
2025-01-27 18:59:48,928 INFO    MainThread:2687 [wandb_init.py:init():743] calling init triggers
2025-01-27 18:59:48,928 INFO    MainThread:2687 [wandb_init.py:init():748] wandb.init called with sweep_config: {}
config: {}
2025-01-27 18:59:48,928 INFO    MainThread:2687 [wandb_init.py:init():776] starting backend
2025-01-27 18:59:48,928 INFO    MainThread:2687 [wandb_init.py:init():780] sending inform_init request
2025-01-27 18:59:48,929 INFO    MainThread:2687 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-01-27 18:59:48,929 INFO    MainThread:2687 [wandb_init.py:init():795] backend started and connected
2025-01-27 18:59:48,933 INFO    MainThread:2687 [wandb_run.py:_label_probe_notebook():1213] probe notebook
2025-01-27 18:59:48,934 INFO    MainThread:2687 [wandb_run.py:_label_probe_notebook():1223] Unable to probe notebook: Expecting value: line 1 column 1 (char 0)
2025-01-27 18:59:48,934 INFO    MainThread:2687 [wandb_init.py:init():888] updated telemetry
2025-01-27 18:59:48,956 INFO    MainThread:2687 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-01-27 18:59:49,239 INFO    MainThread:2687 [wandb_init.py:init():967] starting run threads in backend
2025-01-27 18:59:49,372 INFO    MainThread:2687 [wandb_run.py:_console_start():2409] atexit reg
2025-01-27 18:59:49,372 INFO    MainThread:2687 [wandb_run.py:_redirect():2259] redirect: wrap_raw
2025-01-27 18:59:49,372 INFO    MainThread:2687 [wandb_run.py:_redirect():2324] Wrapping output streams.
2025-01-27 18:59:49,372 INFO    MainThread:2687 [wandb_run.py:_redirect():2349] Redirects installed.
2025-01-27 18:59:49,373 INFO    MainThread:2687 [wandb_init.py:init():1009] run started, returning control to user process
2025-01-27 19:00:45,859 INFO    MainThread:2687 [wandb_run.py:_finish():2134] finishing run amanjn2003-santa-clara-university/Malaria-Detection-Dataset-Model-Versioning/53xswlty
2025-01-27 19:00:45,860 INFO    MainThread:2687 [jupyter.py:save_history():458] not saving jupyter history
2025-01-27 19:00:45,860 INFO    MainThread:2687 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-01-27 19:00:45,860 INFO    MainThread:2687 [wandb_init.py:_jupyter_teardown():558] cleaning up jupyter logic
2025-01-27 19:00:45,860 INFO    MainThread:2687 [wandb_run.py:_atexit_cleanup():2374] got exitcode: 0
2025-01-27 19:00:45,860 INFO    MainThread:2687 [wandb_run.py:_restore():2356] restore
2025-01-27 19:00:45,860 INFO    MainThread:2687 [wandb_run.py:_restore():2362] restore done
2025-01-27 19:06:28,949 INFO    MainThread:2687 [wandb_run.py:_footer_history_summary_info():3976] rendering history
2025-01-27 19:06:28,952 INFO    MainThread:2687 [wandb_run.py:_footer_history_summary_info():4008] rendering summary
2025-01-27 19:06:28,955 INFO    MainThread:2687 [wandb_run.py:_footer_sync_info():3937] logging synced files
